"ML Catalog Number",Format,"Scientific Name","Common Name","Background Species",Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,"Elevation (m)",Age/Sex,Behaviors,Playback,Collected,"Specimen ID","Home Archive Catalog Number",Recorder,Microphone,Accessory,"Partner Institution","eBird Checklist ID",Unconfirmed?,"Air Temp(ºC)","Water Temp(ºC)","Media notes","Observation Details",Class,Order,Family,"Parent Species","eBird Species Code","Taxon Category","Taxonomic Sort","Recordist 2 Display Name","Recordist 2 Profile URL","Average Community Rating","Number of Ratings","Asset State","Asset Tags","Contributor Profile URL","Original Image Height","Original Image Width","Specimen Page URL","eBird Checklist URL","ebird Species URL",isInternalUser,mediaDownloadUrl,report_as
202575201,Photo,"Sialia mexicana","Western Bluebird",,"David Yeamans",1/24/2020,2020,1,24,812,"United States",US-CA-001,California,Alameda,"Del Valle Rd. at Mendenhall Rd.",37.6046,-121.687,,,,Unspecified,,,,,,,,S63731934,,,,,,,,,"Sialia mexicana",wesblu,Species,27041.0,,,4.705882352941177,17,committed,,"https://ebird.org/profile/MTg0OTMz",1662,2493,"https://macaulaylibrary.org/asset/202575201","https://ebird.org/view/checklist/S63731934","https://ebird.org/species/wesblu",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",wesblu
215977831,Photo,"Sialia mexicana","Western Bluebird",,"David Yeamans",3/16/2020,2020,3,16,1522,"United States",US-CA-001,California,Alameda,"Garin/Dry Creek Pioneer Regional Park",37.6285,-122.0284,,,,Unspecified,,,,,,,,S65885292,,,,,,,,,"Sialia mexicana",wesblu,Species,27041.0,,,4.44,25,committed,,"https://ebird.org/profile/MTg0OTMz",2166,3249,"https://macaulaylibrary.org/asset/215977831","https://ebird.org/view/checklist/S65885292","https://ebird.org/species/wesblu",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",wesblu
52814751,Photo,"Podiceps nigricollis","Eared Grebe",,"David Yeamans",3/29/2017,2017,3,29,1630,"United States",US-AZ-023,Arizona,"Santa Cruz","Patagonia Lake from Boats",31.4922,-110.8661,,Adult,,Unspecified,,,,,,,,S35529285,,,,,,,,,"Podiceps nigricollis",eargre,Species,1777.0,,,4.666666666666667,15,committed,,"https://ebird.org/profile/MTg0OTMz",1029,1544,"https://macaulaylibrary.org/asset/52814751","https://ebird.org/view/checklist/S35529285","https://ebird.org/species/eargre",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",eargre
42972331,Photo,"Trogon elegans","Elegant Trogon",,"David Yeamans",12/19/2016,2016,12,19,730,"United States",US-AZ-023,Arizona,"Santa Cruz","Patagonia Lake SP--Birding Trail",31.4967,-110.8489,,"Adult Male",,Unspecified,,,,,,,,S33107683,,,,,"This is a uniquely marked trogon, thought to have been sighted here for 17 or more years.",,,,"Trogon elegans",eletro,Species,8991.0,,,4.818181818181818,11,committed,,"https://ebird.org/profile/MTg0OTMz",2666,3999,"https://macaulaylibrary.org/asset/42972331","https://ebird.org/view/checklist/S33107683","https://ebird.org/species/eletro",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",eletro
55083981,Photo,"Fulica americana","American Coot",,"David Yeamans",4/15/2017,2017,4,15,837,"United States",US-AZ-023,Arizona,"Santa Cruz","Patagonia Lake State Park",31.4952,-110.8567,,Unknown,,Unspecified,,,,,,,,S35990616,,,,"Feeding behavior","Hatchlings around the lake are from minutes to days old.",,,,"Fulica americana",y00475,Species,5311.0,,,4.857142857142857,7,committed,,"https://ebird.org/profile/MTg0OTMz",1154,1732,"https://macaulaylibrary.org/asset/55083981","https://ebird.org/view/checklist/S35990616","https://ebird.org/species/y00475",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",y00475
50589031,Photo,"Oxyura jamaicensis","Ruddy Duck",,"David Yeamans",3/8/2017,2017,3,8,800,"United States",US-AZ-023,Arizona,"Santa Cruz","Patagonia Lake SP--Birding Trail",31.4967,-110.8489,,"Adult Female",,Unspecified,,,,,,,,S35059226,,,,,,,,,"Oxyura jamaicensis",rudduc,Species,674.0,,,5.0,6,committed,,"https://ebird.org/profile/MTg0OTMz",1746,2619,"https://macaulaylibrary.org/asset/50589031","https://ebird.org/view/checklist/S35059226","https://ebird.org/species/rudduc",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",rudduc
41934621,Photo,"Peucedramus taeniatus","Olive Warbler",,"David Yeamans",12/6/2016,2016,12,6,1016,"United States",US-AZ-023,Arizona,"Santa Cruz","Madera Canyon--Santa Rita Lodge",31.7252,-110.8801,,Unknown,,Unspecified,,,,,,,,S32896156,,,,,,,,,"Peucedramus taeniatus",oliwar,Species,29508.0,,,4.833333333333333,6,committed,,"https://ebird.org/profile/MTg0OTMz",2050,3076,"https://macaulaylibrary.org/asset/41934621","https://ebird.org/view/checklist/S32896156","https://ebird.org/species/oliwar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",oliwar
160548891,Photo,"Petrochelidon pyrrhonota","Cliff Swallow",,"David Yeamans",5/23/2019,2019,5,23,714,"United States",US-CA-001,California,Alameda,"Hayward Regional Shoreline--Interpretive Center",37.6234,-122.1373,,Adult,,Unspecified,,,,,,,,S56658606,,,,,,,,,"Petrochelidon pyrrhonota",cliswa,Species,23244.0,,,4.833333333333333,6,committed,,"https://ebird.org/profile/MTg0OTMz",1639,2459,"https://macaulaylibrary.org/asset/160548891","https://ebird.org/view/checklist/S56658606","https://ebird.org/species/cliswa",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",cliswa
97554121,Photo,"Cardellina pusilla","Wilson's Warbler",,"David Yeamans",5/1/2018,2018,5,1,645,"United States",US-CA-001,California,Alameda,"Garin/Dry Creek Pioneer Regional Park--May Rd. entrance",37.6082,-122.0175,,"Adult Male",,Unspecified,,,,,,,,S45143036,,,,,,,,,"Cardellina pusilla",wlswar,Species,33029.0,,,5.0,5,committed,,"https://ebird.org/profile/MTg0OTMz",1282,1924,"https://macaulaylibrary.org/asset/97554121","https://ebird.org/view/checklist/S45143036","https://ebird.org/species/wlswar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",wlswar
71550741,Photo,"Buteo regalis","Ferruginous Hawk",,"David Yeamans",10/11/2017,2017,10,11,949,"United States",US-CA-001,California,Alameda,"10123 Patterson Pass Rd, Livermore US-CA (37.6871,-121.6636)",37.6871,-121.6636,,Juvenile,,Unspecified,,,,,,,,S39827628,,,,,"Dark patch where trailing edge of wing meets body. Dark outer terminus of axilary, otherwise pale below.",,,,"Buteo regalis",ferhaw,Species,8038.0,,,5.0,5,committed,,"https://ebird.org/profile/MTg0OTMz",1459,2189,"https://macaulaylibrary.org/asset/71550741","https://ebird.org/view/checklist/S39827628","https://ebird.org/species/ferhaw",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",ferhaw
